Timestamp,Log_Content,drain_template,named_template,parameters
Jun  9 06:06:38,combo sshd:  succeeded,combo sshd: succeeded,combo sshd: succeeded,{}
Jun  9 06:06:38,combo xinetd: xinetd startup succeeded,combo xinetd: xinetd startup succeeded,combo xinetd: xinetd startup succeeded,{}
Jun  9 06:06:40,combo xinetd[2003]: No such internal service: services/stream - DISABLING,combo xinetd[2003]: No such internal service: services/stream - DISABLING,combo xinetd<pid>: No such internal service: services/stream - DISABLING,"{""pid"": ""2003""}"
Jun  9 06:06:41,combo xinetd[2003]: bind failed (Address already in use (errno = 98)). service = telnet,combo xinetd[2003]: bind failed (Address already in use (errno = 98)). service = telnet,combo xinetd<pid>: bind failed (Address already in use (errno = 98)). service = telnet,"{""pid"": ""2003""}"
Jun  9 06:06:41,combo xinetd[2003]: Service telnet failed to start and is deactivated.,combo xinetd[2003]: Service telnet failed to start and is deactivated.,combo xinetd<pid>: Service telnet failed to start and is deactivated.,"{""pid"": ""2003""}"
Jun  9 06:06:41,combo xinetd[2003]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,combo xinetd[2003]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,combo xinetd<pid>: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,"{""pid"": ""2003""}"
Jun  9 06:06:41,combo xinetd[2003]: Started working: 30 available services,combo xinetd[2003]: Started working: 30 available services,combo xinetd<pid>: Started working: 30 available services,"{""pid"": ""2003""}"
Jun  9 06:06:46,combo su(pam_unix)[2077]: session opened for user htt by (uid=0),combo su(pam_unix)[2077]: session opened for user htt by (uid=0),combo su(pam_unix)<pid>: session opened for user htt by (uid=0),"{""pid"": ""2077""}"
Jun  9 06:06:46,combo su(pam_unix)[2077]: session closed for user htt,combo su(pam_unix)[2077]: session closed for user htt,combo su(pam_unix)<pid>: session closed for user htt,"{""pid"": ""2077""}"
Jun  9 06:07:15,combo snmpd: snmpd startup succeeded,combo <*> <*> startup succeeded,combo snmpd: snmpd startup succeeded,{}
Jun  9 06:07:16,combo snmpd[2287]: NET-SNMP version 5.1.1,combo snmpd[2287]: NET-SNMP version 5.1.1,combo snmpd<pid>: NET-SNMP version 5.1.1,"{""pid"": ""2287""}"
